"","Cap1","Cap2","Time","Distance"
"48865",436,116,2334,0.610317136167747
"48866",436,449,2334,0.491830697903252
"48867",436,255,2334,0.79169545264325
"48883",436,3008,2335,3.45677719001746
"48884",436,3310,2335,1.21553037913497
"48885",436,100,2335,0.642782927666876
"48886",436,116,2335,0.61801152440711
"48887",436,449,2335,0.498870206867478
"48888",436,255,2335,0.768080399525987
"48904",436,3008,2336,3.45872059487681
"48905",436,3310,2336,1.16271998353
"48906",436,100,2336,0.617691058135052
"48907",436,116,2336,0.618205364179251
"48908",436,449,2336,0.520813364651869
"48909",436,255,2336,0.765844850172671
"48925",436,3008,2337,3.49846770486606
"48926",436,3310,2337,1.15319974353969
"48927",436,100,2337,0.531515686504171
"48928",436,116,2337,0.616954325943177
"48929",436,449,2337,0.558675223363271
"48930",436,255,2337,0.783736334594741
"48946",436,3008,2338,3.49772608771625
"48947",436,3310,2338,0.977183276617033
"48948",436,100,2338,0.523542307459483
"48949",436,116,2338,0.671630152613773
"48950",436,449,2338,0.542915639579484
"48951",436,255,2338,0.755976601598224
"48967",436,3008,2339,3.4987679690415
"48968",436,3310,2339,0.960000672708098
"48969",436,100,2339,0.508884084738361
"48970",436,116,2339,0.582733970521713
"48971",436,449,2339,0.513142589540179
"48972",436,255,2339,0.699646402451982
"48988",436,3008,2340,3.50517224050271
"48989",436,3310,2340,0.929549441826523
"48990",436,100,2340,0.506196197634869
"48991",436,116,2340,0.352398581864343
"48992",436,449,2340,0.458725515313897
"48993",436,255,2340,0.644005468504733
"49009",436,3008,2341,3.50517224050271
"49010",436,3310,2341,0.901392726451684
"49011",436,100,2341,0.506196197634869
"49012",436,116,2341,0.178001407016911
"49013",436,449,2341,0.472136124015098
"49014",436,255,2341,0.694663168250628
"49030",436,3008,2342,3.48254229150068
"49031",436,3310,2342,0.859200496799205
"49032",436,100,2342,0.502758041705948
"49033",436,116,2342,0.489982087408305
"49034",436,449,2342,0.466348509164552
"49035",436,255,2342,0.690366013375514
"49051",436,3008,2343,3.46439251679004
"49052",436,3310,2343,0.873321387119312
"49053",436,100,2343,0.505801847564834
"49054",436,116,2343,0.570069808237553
"49055",436,449,2343,0.477077888923811
"49056",436,255,2343,0.719589879670358
"49072",436,3008,2344,3.46322408284402
"49073",436,3310,2344,0.824516771266661
